time	epoch_time	flow	exhaust	p_flow	N2O_ppb	CO2_ppm	CH4_ppb	H2O_ppm	NH3_ppb	bin_INC2	bin_INC_valve
2015-08-27 06:42:00	1440657720	374.7814	77.1299	49.1692	415.9730	401.1740	3985.4860	5295.0160	  13.2910	1-0-00-0000-0000	0001
2015-08-27 09:42:00	1440668520	374.7455	77.2968	49.1602	424.5610	401.2050	3986.4590	4463.0070	  12.2340	1-0-00-0000-0000	0001
2015-08-27 12:42:00	1440679320	374.7793	78.5435	49.1706	428.0600	400.5940	3986.5720	3925.4130	  11.3060	1-0-00-0000-0000	0001
2015-08-27 18:30:00	1440700200	374.8353	78.9675	49.1678	433.1440	401.0400	3987.0100	6183.1630	  14.0730	1-0-00-0000-0000	0001
2015-08-27 21:30:00	1440711000	374.8408	77.1881	49.1644	411.7930	400.9220	3986.3690	3891.8520	  10.2390	1-0-00-0000-0000	0001
2015-08-28 00:30:00	1440721800	374.7697	76.6477	49.1616	427.7090	401.0870	3986.0020	3132.9980	   9.9950	1-0-00-0000-0000	0001
2015-08-28 03:30:00	1440732600	374.7517	75.8953	49.1623	413.8530	401.0550	3985.6830	3612.4160	  10.1680	1-0-00-0000-0000	0001
2015-08-28 06:30:00	1440743400	374.8035	75.3305	49.1692	416.4500	401.7440	3986.2100	4957.9450	  11.3580	1-0-00-0000-0000	0001
2015-08-28 09:30:00	1440754200	374.7628	75.2437	49.1692	421.6660	401.5020	3985.4770	3394.8200	   9.7980	1-0-00-0000-0000	0001
2015-08-28 12:30:00	1440765000	374.8132	75.9884	49.1741	411.1840	401.5260	3986.0610	4112.0200	  10.3290	1-0-00-0000-0000	0001
2015-08-28 15:30:00	1440775800	374.8456	76.6339	49.1789	435.7210	400.7690	3986.1350	5019.1260	  12.0060	1-0-00-0000-0000	0001
2015-08-28 18:30:00	1440786600	374.8801	75.9561	49.1762	419.5300	400.9580	3986.7770	5256.2420	  10.8670	1-0-00-0000-0000	0001
2015-08-28 21:30:00	1440797400	374.7931	74.2240	49.1678	416.5090	400.7900	3985.9840	4549.3670	   9.9640	1-0-00-0000-0000	0001
2015-08-29 00:30:00	1440808200	374.7966	73.9577	49.1671	408.9040	400.7680	3985.2860	3528.1130	   9.3800	1-0-00-0000-0000	0001
2015-08-29 03:30:00	1440819000	374.7945	73.6890	49.1741	425.8640	401.8730	3985.9660	3096.2120	   8.0150	1-0-00-0000-0000	0001
2015-08-29 06:30:00	1440829800	374.8380	73.8689	49.1713	411.4480	400.9880	3986.4860	3431.7010	   8.2520	1-0-00-0000-0000	0001
2015-08-29 09:30:00	1440840600	374.8249	73.9365	49.1727	399.6610	401.0580	3986.0380	3773.2990	   8.8960	1-0-00-0000-0000	0001
2015-08-29 12:30:00	1440851400	374.8815	75.0656	49.1699	410.8060	401.5130	3986.7400	4541.8050	  11.0810	1-0-00-0000-0000	0001
2015-08-29 15:30:00	1440862200	374.8256	75.4676	49.1748	419.8370	400.6560	3986.4200	3606.8910	   9.1620	1-0-00-0000-0000	0001
2015-08-29 18:30:00	1440873000	374.8318	75.7979	49.1616	421.3460	400.6870	3986.7090	4435.9260	   9.4110	1-0-00-0000-0000	0001
2015-08-29 21:30:00	1440883800	374.7738	74.3812	49.1685	411.7880	401.2170	3986.5810	4442.2330	   9.5790	1-0-00-0000-0000	0001
2015-08-30 00:30:00	1440894600	374.7496	74.8553	49.1706	415.5670	401.2000	3986.7140	3344.1200	   9.3540	1-0-00-0000-0000	0001
2015-08-30 03:30:00	1440905400	374.7745	74.6971	49.1678	419.3530	401.4580	3984.7920	3720.8980	   9.5090	1-0-00-0000-0000	0001
2015-08-30 06:30:00	1440916200	374.7793	74.3343	49.1755	413.5690	401.0610	3983.7150	3316.8410	   9.3960	1-0-00-0000-0000	0001
2015-08-30 09:30:00	1440927000	374.8042	74.5001	49.1810	410.8890	401.6510	3985.4330	3467.1390	   9.7380	1-0-00-0000-0000	0001
2015-08-30 12:30:00	1440937800	374.8953	76.2215	49.1782	420.2140	401.2760	3986.9580	4499.0650	  11.3630	1-0-00-0000-0000	0001
2015-08-30 15:30:00	1440948600	374.8774	76.8990	49.1768	409.3450	401.1800	3985.4650	3661.0850	   9.9960	1-0-00-0000-0000	0001
